x,P0,dP0_dx,P1,dP1_dx,P2,dP2_dx,P3,dP3_dx,P4,dP4_dx,P5,dP5_dx
-0.63,1,0,-0.63,1,0.09535,-1.89,0.319883,1.47675,-0.424183,0.349178,0.225117,-2.3409
-0.62,1,0,-0.62,1,0.0766,-1.86,0.33418,1.383,-0.420035,0.47926,0.201415,-2.39732
-0.61,1,0,-0.61,1,0.05815,-1.83,0.347548,1.29075,-0.414619,0.602833,0.177214,-2.44083
-0.6,1,0,-0.6,1,0.04,-1.8,0.36,1.2,-0.408,0.72,0.15264,-2.472
-0.59,1,0,-0.59,1,0.02215,-1.77,0.371553,1.11075,-0.40024,0.830868,0.127813,-2.49141
-0.58,1,0,-0.58,1,0.0046,-1.74,0.38222,1.023,-0.391403,0.93554,0.102849,-2.49963
-0.57,1,0,-0.57,1,-0.01265,-1.71,0.392018,0.93675,-0.38155,1.03412,0.0778563,-2.4972
-0.56,1,0,-0.56,1,-0.0296,-1.68,0.40096,0.852,-0.370741,1.12672,0.0529387,-2.48467
-0.55,1,0,-0.55,1,-0.04625,-1.65,0.409063,0.76875,-0.359035,1.21344,0.0281948,-2.46257
-0.54,1,0,-0.54,1,-0.0626,-1.62,0.41634,0.687,-0.346491,1.29438,0.00371754,-2.43142
-0.53,1,0,-0.53,1,-0.07865,-1.59,0.422808,0.60675,-0.333166,1.36965,-0.0204052,-2.39175
-0.52,1,0,-0.52,1,-0.0944,-1.56,0.42848,0.528,-0.319117,1.43936,-0.0440907,-2.34405
-0.51,1,0,-0.51,1,-0.10985,-1.53,0.433373,0.45075,-0.304397,1.50361,-0.0672611,-2.28883
-0.5,1,0,-0.5,1,-0.125,-1.5,0.4375,0.375,-0.289062,1.5625,-0.0898438,-2.22656
-0.49,1,0,-0.49,1,-0.13985,-1.47,0.440878,0.30075,-0.273165,1.61614,-0.111771,-2.15773
-0.48,1,0,-0.48,1,-0.1544,-1.44,0.44352,0.228,-0.256757,1.66464,-0.132978,-2.08281
-0.47,1,0,-0.47,1,-0.16865,-1.41,0.445443,0.15675,-0.239889,1.7081,-0.153408,-2.00225
-0.46,1,0,-0.46,1,-0.1826,-1.38,0.44666,0.087,-0.222611,1.74662,-0.173006,-1.9165
-0.45,1,0,-0.45,1,-0.19625,-1.35,0.447188,0.01875,-0.204973,1.78031,-0.191722,-1.826
